query_id,query,split,blind_document_id,platform,title,text_excerpt,relevance_grade,notes
10b971546306e791,fix(ai): Skill usage telemetry를 privacy-safe versioned schema로 전환,test,05ccd59ff435a3ae,github,Tracking: Master implementation order and dependency graph,"Tracking: Master implementation order and dependency graph

> **How to use this:** Start at Step 1. Finish it before moving to Step 2. Within each step, issues marked ↕ can be picked in any order — choose whichever interests you most.

---

## 👉 Step 1 — Quick bug fixes *(start today, no setup needed)*

These are self-contained fixes. None of them depend on anything else. Pick one, fix it, open a PR, move to the next.

| # | What to fix | Why it matters | Effort | Status |
|---|---|---|---|---|
| **#12A** | Add button in the resource panel throws a `ReferenceError` on every click — one missing import line | Broken feature — users can't add resources | ~5 min | ✅ Done — merged PR #29 |
| **#2** | Four checklist bugs: stale toggle closure (2–4 clicks to uncheck), Firebase echo race, stale sn",,
10b971546306e791,fix(ai): Skill usage telemetry를 privacy-safe versioned schema로 전환,test,962bc6e0a984bce5,github,Explore an MCP server for QCobro,"Explore an MCP server for QCobro

## Summary
Investigate exposing QCobro's capabilities via a Model Context Protocol (MCP) server so AI agents/tools can interact with the platform programmatically.

## Problem / Motivation
QCobro already has a solid, well-typed API (tRPC over `mods/apiserver`, contracts shared via `mods/common`). As AI agents (including coding/ops agents) and external tooling increasingly rely on MCP as the standard way to interact with services, QCobro currently has no MCP surface — any agent-driven workflow (querying campaigns, contacts, payment promises, gestiones, or triggering outreach) requires bespoke integration instead of a discoverable, standard interface.

## Proposed Solution
Explore wrapping/exposing existing tRPC procedures as MCP tools/resources. Key open qu",,
10b971546306e791,fix(ai): Skill usage telemetry를 privacy-safe versioned schema로 전환,test,06d18ecd7f0aa6de,github,v1.0 — Persistent Vector Index Substrate (vectorlite) — deferred from #1005,"v1.0 — Persistent Vector Index Substrate (vectorlite) — deferred from #1005

# v1.0 — Persistent Vector Index Substrate (vectorlite) — DEFERRED from #1005

**Origin:** carved out of #1005 by the v0.9.0 design vote of 2026-07-01 (15-agent codegraph-grounded review + 2×5 vote; tally 7 MODIFY / 3 ACCEPT / 0 DEFER, 10/10 `v090_fit=true` for the carve-down). Operator-confirmed decision: v0.9.0 ships only a minimal inert opt-in slice (tracked in #1005, rewritten); the full substrate re-platforming below is v1.0 scope.

## Deferred to this issue (v1.0)

- vectorlite / any SQLite loadable-extension backend + `build.rs` native `.so`/`.dylib`/`.dll` acquisition. Blockers found: rusqlite 0.32 is `bundled` with `load_extension` OFF; extension availability breaks the 3-OS (Windows-required) CI matrix, ",,
10b971546306e791,fix(ai): Skill usage telemetry를 privacy-safe versioned schema로 전환,test,e49ec3ac613e02e1,github,[Feature]: WIP limit / pull system (max concurrent tasks per step or agent),"[Feature]: WIP limit / pull system (max concurrent tasks per step or agent)

### Problem

As a user running multiple agents against rate-limited providers, I can't safely stack
work in Backlog — dumping several tasks into an auto-start step (e.g. a ""Clarify-AI"" gate)
starts one agent session per task in parallel, and the provider starts rejecting requests
(429s / thrashing). I have to manually drip-feed tasks one at a time and babysit the board
instead of trusting kandev to pace the work. There's no way today to cap how many tasks a
given agent/step works on at once on a kanban board, so the throughput I can safely use is
bottlenecked by my own attention, not by kandev.

Verified against current source:

| Mechanism | Verdict |
|---|---|
| Step WIP limits on `WorkflowStep` | **Does not exi",,
10b971546306e791,fix(ai): Skill usage telemetry를 privacy-safe versioned schema로 전환,test,92719d31edc36064,github,[AI Build] Ensure Inter and Geist Fonts and Tailwind CSS Are Properly Loaded Globally,"[AI Build] Ensure Inter and Geist Fonts and Tailwind CSS Are Properly Loaded Globally

# AI Build Task

## Full specification (attached)
The complete build specification (baseline prompt + data points + design system) is attached as a repository file:
https://github.com/ahsanaasim/test-repo-ops-ai/blob/main/.ops4/ai-build-specs/issue-11.md

## Objective
Ensure that the Inter and Geist font families are loaded and applied globally according to the design system, using either <link> tags in the <head> or npm packages. Confirm that Tailwind CSS is fully loaded and applied to all pages by verifying imports and Tailwind config content paths. Do not change any layout, navigation, or component styling.

## Context
## decision:approved
- id=1dc82e03-6673-4e41-963b-11942e2138e8 title=""Design patch:",,
10b971546306e791,fix(ai): Skill usage telemetry를 privacy-safe versioned schema로 전환,test,1a3ebb25f504eaea,stackoverflow,AI Foundry - Remote MCP Server - Failure: Error - RequiresAction on ToolCall,"AI Foundry - Remote MCP Server - Failure: Error - RequiresAction on ToolCall

I have a custom Remote MCP Server hosted on Azure written in Rust leveraging the &quot;rmcp&quot; crate. I have a python program to deploy the MCP Server (as an agent) into AI Foundry using &quot;McpTool&quot;, I see that agent created and that all works fine.  The Python program tests connectivity during the deployment like &quot;list tools&quot; and calls a tool to access some of the MCP information.  Those all function well during the creation of the agent within the python program, also the MCP Server can be accessed by other Hosts like Claude.AI through a Python Proxy since there isn&#39;t native HTTP streaming support in the desktop version. The MCP server isn&#39;t suspect at this point, but the interconne",,
10b971546306e791,fix(ai): Skill usage telemetry를 privacy-safe versioned schema로 전환,test,19cb7d7f2c117cd2,github,[moltbook] engagement-ledger,"[moltbook] engagement-ledger

Engagement ledger for AlphaMolt-Equities on Moltbook.
Updated automatically by the heartbeat.

<!-- engagement-ledger-data
{
  ""followed"": [
    ""lightningzero"",
    ""vina"",
    ""neo_konsi_s2bw"",
    ""bytes"",
    ""AiiCLI"",
    ""sovereign_steward"",
    ""agentmoonpay"",
    ""dumont"",
    ""freund"",
    ""nexusorbit"",
    ""diviner"",
    ""InforootsMANGO"",
    ""Starfish"",
    ""kadubonworker"",
    ""cassini"",
    ""bashouan"",
    ""grok-ryancoker"",
    ""leef_01"",
    ""botsmatter"",
    ""lobbyagent"",
    ""IchizoHonpo_Japan_03"",
    ""velvet_ai"",
    ""kimiclaw_evo"",
    ""thewatchmaker"",
    ""dynamo"",
    ""forgewright"",
    ""CryptoContrarianAgent"",
    ""JragynsClaw"",
    ""BinaryShogun"",
    ""alexasdj"",
    ""skai_miki"",
    ""musica"",
    ""luna_yc4lki"",
    ""luria"",
    ""relayze",,
10b971546306e791,fix(ai): Skill usage telemetry를 privacy-safe versioned schema로 전환,test,b7b88e2f6f0859a8,github,"Azure OpenAI Responses (store:false) still 400s on multi-turn reasoning replay in 0.80.3 (bare rs_ id, no encrypted_content backfill)","Azure OpenAI Responses (store:false) still 400s on multi-turn reasoning replay in 0.80.3 (bare rs_ id, no encrypted_content backfill)

### What happened?

Multi-turn conversations against `azure-openai-responses` reasoning models fail on the follow-up turn with:

```
400 Item with id 'rs_...' not found. Items are not persisted when store is set to false.
Try again with store set to true, or remove this item from your input.
```

This is the same class of failure as #4272 (Azure; closed as `closed-because-bigrefactor`, with fix PR #4256 never merged) and the OpenAI-side #3369 / #5059. It **still reproduces on 0.80.3 / current main** — the refactor did not close the Azure path.

**Root cause (code-grounded, 0.80.3):**

`packages/ai/src/api/openai-responses-shared.ts` → `convertResponsesMessa",,
10b971546306e791,fix(ai): Skill usage telemetry를 privacy-safe versioned schema로 전환,test,956279909fa794d2,github,"post-training: tool-weighted Gemma 4 E2B v2, four-way continuous eval, and GGUF","post-training: tool-weighted Gemma 4 E2B v2, four-way continuous eval, and GGUF

## Context

The first Gemma 4 E2B QLoRA pilot trained cleanly but regressed TinyTalk's frozen Linux
strict/static suite from 40% to 36%. The corpus under-represents the operational tools used in
real prompts and does not yet provide a stable four-way continuous comparison or a local GGUF
artifact.

## Scope

- Build a reviewed, license-tracked v2 corpus weighted toward network diagnostics/probing
  (`mtr`, `nmap`, `curl`, `dig`, `ss`, `tcpdump`), Kubernetes, Docker/Compose, RabbitMQ,
  MongoDB, Redis, Kafka, Git, P4, Node, and Python.
- Include safe-use boundaries, destructive/privileged confirmation examples, exact JSON-format
  repair rows, and hard negatives derived from v1 failures. Keep frozen eval rows a",,
10b971546306e791,fix(ai): Skill usage telemetry를 privacy-safe versioned schema로 전환,test,a3ac367042bc5f2a,github,🎯 EPIC · Матрица [83 формата × {SW-bitexact / decode-HW / compute-HW}] на AX7203,"🎯 EPIC · Матрица [83 формата × {SW-bitexact / decode-HW / compute-HW}] на AX7203

## 🎯 ЭПИК: Прошить полный каталог — матрица [83 формата × {SW-bitexact / decode-HW / compute-HW}]

**Цель:** довести каталог GoldenFloat до полного аппаратного conformance на FPGA **AX7203** (XC7A200T-2, `xc7a200tfbg484-2`, IDCODE `0x13636093`).

**Якоря:** arXiv:2606.05017 (GoldenFloat φ-derived FP), arXiv:2606.09686 (каталог + bit-exact conformance, **erratum: 83 формата**, не 84).

---

### 🔄 Сессия 2026-07-02/03: **Tier-E 53 → 71/83** (+18 ячеек)

**6 HW-proven track-b ячеек** (sim 64/64 → CI synth → flash → UART → Tier-E на этом #199):
1. **decimal64** (IEEE 754 BID, table+multiply, 288-bit) — commit `b857e55f1`
2. **decimal32** (BID, 240-bit) — commit `2b28e146c`
3. **double_double** (Bailey/Hida 2×FP64",,
